VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 1.715 0.0139955 27.9403 31067.2 0.999995 -7.01205E-05
5.0 0.30e-6 0.60e-6 1.72 0.0140042 27.9435 31090 0.999995 -7.00822E-05
5.0 0.30e-6 0.60e-6 1.725 0.0140128 27.9466 31112.7 0.999995 -7.00441E-05
5.0 0.30e-6 0.60e-6 1.73 0.0140215 27.9498 31135.3 0.999995 -7.00061E-05
5.0 0.30e-6 0.60e-6 1.735 0.0140301 27.953 31157.9 0.999995 -6.99683E-05
5.0 0.30e-6 0.60e-6 1.74 0.0140387 27.9561 31180.5 0.999995 -6.99307E-05
5.0 0.30e-6 0.60e-6 1.745 0.0140472 27.9592 31203.1 0.999995 -6.98932E-05
5.0 0.30e-6 0.60e-6 1.75 0.0140558 27.9624 31225.6 0.999995 -6.98559E-05
5.0 0.30e-6 0.60e-6 1.755 0.0140643 27.9655 31248.1 0.999995 -6.98187E-05
5.0 0.30e-6 0.60e-6 1.76 0.0140728 27.9686 31270.5 0.999995 -6.97817E-05
5.0 0.30e-6 0.60e-6 1.765 0.0140813 27.9717 31293 0.999995 -6.97448E-05
5.0 0.30e-6 0.60e-6 1.77 0.0140897 27.9748 31315.4 0.999995 -6.97081E-05
5.0 0.30e-6 0.60e-6 1.775 0.0140981 27.9779 31337.7 0.999995 -6.96715E-05
5.0 0.30e-6 0.60e-6 1.78 0.0141065 27.981 31360.1 0.999995 -6.96351E-05
5.0 0.30e-6 0.60e-6 1.785 0.0141149 27.9841 31382.4 0.999995 -6.95988E-05
5.0 0.30e-6 0.60e-6 1.79 0.0141233 27.9872 31404.7 0.999995 -6.95627E-05
5.0 0.30e-6 0.60e-6 1.795 0.0141316 27.9902 31427 0.999995 -6.95267E-05
5.0 0.30e-6 0.60e-6 1.8 0.0141399 27.9933 31449.2 0.999995 -6.94908E-05
5.0 0.30e-6 0.60e-6 1.805 0.0141482 27.9964 31471.4 0.999995 -6.94551E-05
5.0 0.30e-6 0.60e-6 1.81 0.0141564 27.9994 31493.6 0.999995 -6.94195E-05
5.0 0.30e-6 0.60e-6 1.815 0.0141646 28.0025 31515.8 0.999995 -6.9384E-05
5.0 0.30e-6 0.60e-6 1.82 0.0141728 28.0055 31538 0.999995 -6.93487E-05
