N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.15 0.317367 43.487 1.11597E+06 0.999995 0.00183023
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.55 0.129324 34.7261 148401 0.999986 0.00267292
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.60 0.120132 34.0752 127738 0.999986 0.00269752
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.65 0.103542 32.7703 94573.3 0.999984 0.00272422
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.70 0.0814879 30.691 58573.8 0.99998 0.00273511
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.75 0.0590152 27.9493 31131.6 0.999975 0.0026181
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.80 0.0689692 29.3228 42730.4 0.999979 0.00239503
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.85 0.108141 33.241 105404 0.999985 0.0024508
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.90 0.148186 36.0147 199677 0.999988 0.00245121
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.95 0.18707 38.1076 323340 0.99999 0.00242882
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.00 0.219582 39.6037 456339 0.999992 0.0023866
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.05 0.24454 40.6806 584785 0.999992 0.00232338
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.10 0.268081 41.657 732223 0.999993 0.00223718
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.15 0.296755 42.7369 938940 0.999994 0.00213151
0.22e-6 0.36e-6 2e-6 0.28e-6 0.55 0.177221 37.2863 267619 0.999981 0.00485781
0.22e-6 0.36e-6 2e-6 0.28e-6 0.60 0.167509 36.786 238492 0.99998 0.00487989
0.22e-6 0.36e-6 2e-6 0.28e-6 0.65 0.153384 36.0019 199090 0.999979 0.00490577
0.22e-6 0.36e-6 2e-6 0.28e-6 0.70 0.13376 34.7931 150707 0.999978 0.00492638
0.22e-6 0.36e-6 2e-6 0.28e-6 0.75 0.110679 33.1387 102950 0.999975 0.00493319
0.22e-6 0.36e-6 2e-6 0.28e-6 0.80 0.086587 31.0184 63163.6 0.999972 0.00491841
0.22e-6 0.36e-6 2e-6 0.28e-6 0.85 0.062571 28.2465 33340.1 0.999967 0.00485798
0.22e-6 0.36e-6 2e-6 0.28e-6 0.90 0.0380931 24.0631 12693.1 0.999955 0.00448477
